23555-150.0:23556-4000:23557-100000,18.08
23555-250.0:23556-4000:23557-100000,19.28
23555-500.0:23556-4000:23557-100000,13.86
23555-1500.0:23556-4000:23557-100000,11.3
23555-2500.0:23556-4000:23557-100000,10.83
23555-5000.0:23556-4000:23557-100000,10.83
23555-100.0:23556-4000:23557-300000,20.92
23555-150.0:23556-4000:23557-300000,20.17
23555-250.0:23556-4000:23557-300000,17.15
23555-500.0:23556-4000:23557-300000,15.95
23555-750.0:23556-4000:23557-300000,15.04
23555-1000.0:23556-4000:23557-300000,14.29
23555-1500.0:23556-4000:23557-300000,14.88
23555-2500.0:23556-4000:23557-300000,12.03
23555-5000.0:23556-4000:23557-300000,10.83
23555-100.0:23556-4000:23557-500000,27.85
23555-150.0:23556-4000:23557-500000,26.88
23555-250.0:23556-4000:23557-500000,23.03
23555-500.0:23556-4000:23557-500000,19.45
23555-750.0:23556-4000:23557-500000,16.71
23555-1000.0:23556-4000:23557-500000,15.96
23555-1500.0:23556-4000:23557-500000,18.21
23555-2500.0:23556-4000:23557-500000,23.64
23555-5000.0:23556-4000:23557-500000,12.04
23555-100.0:23556-4000:23557-100000,19.09
23555-150.0:23556-4000:23557-100000,23.38
23555-250.0:23556-4000:23557-100000,19.53
23555-500.0:23556-4000:23557-100000,14.11
23555-750.0:23556-4000:23557-100000,13.21
23555-1000.0:23556-4000:23557-100000,12.46
23555-1500.0:23556-4000:23557-100000,11.55
23555-2500.0:23556-4000:23557-100000,10.83
23555-5000.0:23556-4000:23557-100000,10.85
23555-100.0:23556-4000:23557-300000,21.17
23555-150.0:23556-4000:23557-300000,20.42
23555-250.0:23556-4000:23557-300000,32.47
23555-500.0:23556-4000:23557-300000,20.07
23555-750.0:23556-4000:23557-300000,15.29
23555-1000.0:23556-4000:23557-300000,14.54
23555-1500.0:23556-4000:23557-300000,13.63
23555-2500.0:23556-4000:23557-300000,12.28
23555-5000.0:23556-4000:23557-300000,10.83
23555-100.0:23556-4000:23557-500000,25.33
23555-150.0:23556-4000:23557-500000,27.13
23555-250.0:23556-4000:23557-500000,19.07
23555-500.0:23556-4000:23557-500000,19.7
23555-750.0:23556-4000:23557-500000,16.96
23555-1000.0:23556-4000:23557-500000,16.21
23555-1500.0:23556-4000:23557-500000,15.3
23555-2500.0:23556-4000:23557-500000,13.95
23555-5000.0:23556-4000:23557-500000,14.6
23555-100.0:23556-8000:23557-100000,24.1
23555-150.0:23556-8000:23557-100000,18.08
23555-250.0:23556-8000:23557-100000,15.07
23555-500.0:23556-8000:23557-100000,17.74
23555-750.0:23556-8000:23557-100000,12.96
23555-1500.0:23556-8000:23557-100000,11.3
23555-2500.0:23556-8000:23557-100000,11.26
23555-5000.0:23556-8000:23557-100000,10.83
23555-100.0:23556-8000:23557-300000,20.92
23555-150.0:23556-8000:23557-300000,20.17
23555-250.0:23556-8000:23557-300000,17.15
23555-500.0:23556-8000:23557-300000,15.95
23555-750.0:23556-8000:23557-300000,15.04
23555-1000.0:23556-8000:23557-300000,14.29
23555-1500.0:23556-8000:23557-300000,13.38
23555-2500.0:23556-8000:23557-300000,12.03
23555-5000.0:23556-8000:23557-300000,10.83
23555-100.0:23556-8000:23557-500000,22.59
23555-150.0:23556-8000:23557-500000,21.83
23555-250.0:23556-8000:23557-500000,23.03
23555-500.0:23556-8000:23557-500000,31.48
23555-750.0:23556-8000:23557-500000,16.71
23555-1000.0:23556-8000:23557-500000,17.57
23555-1500.0:23556-8000:23557-500000,18.21
23555-2500.0:23556-8000:23557-500000,16.47
23555-5000.0:23556-8000:23557-500000,12.04
23555-100.0:23556-8000:23557-100000,19.09
23555-150.0:23556-8000:23557-100000,18.33
23555-250.0:23556-8000:23557-100000,15.32
23555-500.0:23556-8000:23557-100000,14.11
23555-750.0:23556-8000:23557-100000,16.83
23555-1000.0:23556-8000:23557-100000,12.46
23555-1500.0:23556-8000:23557-100000,11.55
