0-1.0:1215-25.0,21.34
4-1.0:1215-26.0,19.95
0-1.0:1215-29.0,23.08
4-1.0:1215-26.0,18.05
0-1.0:1215-27.0,17.01
4-1.0:1215-27.0,15.45
0-1.0:1215-26.0,13.54
4-1.0:1215-28.0,22.43
4-1.0:1215-27.0,21.54
4-1.0:1215-26.0,17.95
4-1.0:1215-26.0,16.51
4-1.0:1215-28.0,15.44
0-1.0:1215-29.0,15.13
0-1.0:1215-29.0,10.83
0-1.0:1215-27.0,24.52
0-1.0:1215-25.0,20.03
0-1.0:1215-26.0,18.59
4-1.0:1215-25.0,17.52
0-1.0:1215-27.0,16.62
0-1.0:1215-29.0,15.54
0-1.0:1215-25.0,11.95
0-1.0:1215-25.0,29.12
0-1.0:1215-29.0,26.67
0-1.0:1215-25.0,24.84
0-1.0:1215-27.0,19.18
0-1.0:1215-27.0,22.32
0-1.0:1215-26.0,17.21
4-1.0:1215-25.0,21.79
0-1.0:1215-27.0,18.2
0-1.0:1215-25.0,21.34
4-1.0:1215-25.0,15.69
0-1.0:1215-29.0,14.79
0-1.0:1215-27.0,13.71
4-1.0:1215-27.0,12.1
0-1.0:1215-27.0,10.83
4-1.0:1215-26.0,47.12
0-1.0:1215-25.0,24.31
4-1.0:1215-26.0,25.25
0-1.0:1215-25.0,18.84
0-1.0:1215-29.0,22.05
0-1.0:1215-28.0,16.87
0-1.0:1215-26.0,17.46
0-1.0:1215-27.0,26.43
0-1.0:1215-25.0,27.67
4-1.0:1215-27.0,21.95
4-1.0:1215-27.0,20.51
0-1.0:1215-25.0,23.71
4-1.0:1215-25.0,18.54
0-1.0:1215-26.0,17.46
0-1.0:1215-26.0,27.65
4-1.0:1215-25.0,13.87
4-1.0:1215-25.0,23.7
4-1.0:1215-27.0,17.44
4-1.0:1215-26.0,16.3
0-1.0:1215-27.0,14.22
0-1.0:1215-26.0,14.15
4-1.0:1215-28.0,10.83
4-1.0:1215-26.0,25.78
4-1.0:1215-27.0,24.83
4-1.0:1215-25.0,19.52
0-1.0:1215-25.0,20.52
4-1.0:1215-27.0,17.44
4-1.0:1215-26.0,30.42
4-1.0:1215-25.0,14.59
4-1.0:1215-26.0,12.51
4-1.0:1215-26.0,27.45
0-1.0:1215-28.0,22.71
0-1.0:1215-26.0,21.19
4-1.0:1215-27.0,20.05
4-1.0:1215-27.0,19.1
0-1.0:1215-25.0,16.26
0-1.0:1215-27.0,14.18
4-1.0:1215-29.0,29.21
0-1.0:1215-26.0,17.69
0-1.0:1215-25.0,18.69
0-1.0:1215-26.0,30.85
4-1.0:1215-26.0,14.47
4-1.0:1215-29.0,16.18
0-1.0:1215-26.0,26.03
4-1.0:1215-25.0,25.08
4-1.0:1215-26.0,19.77
0-1.0:1215-25.0,18.64
0-1.0:1215-25.0,18.26
4-1.0:1215-25.0,12.76
0-1.0:1215-25.0,26.75
4-1.0:1215-25.0,28.13
0-1.0:1215-25.0,21.44
4-1.0:1215-27.0,18.22
4-1.0:1215-25.0,19.93
4-1.0:1215-25.0,29.49
0-1.0:1215-26.0,25.08
4-1.0:1215-26.0,22.89
0-1.0:1215-27.0,16.93
4-1.0:1215-25.0,15.68
4-1.0:1215-26.0,11.5
4-1.0:1215-26.0,28.21
4-1.0:1215-27.0,27.17
0-1.0:1215-25.0,22.99
4-1.0:1215-26.0,23.79
0-1.0:1215-27.0,24.98
4-1.0:1215-25.0,23.64
0-1.0:1215-27.0,22.05
0-1.0:1215-28.0,13.58
0-1.0:1215-25.0,28.83
4-1.0:1215-27.0,24.65
4-1.0:1215-27.0,28.24
4-1.0:1215-27.0,26.64
0-1.0:1215-28.0,20.68
0-1.0:1215-28.0,19.43
0-1.0:1215-25.0,17.55
4-1.0:1215-29.0,15.25
4-1.0:1215-25.0,26.38
4-1.0:1215-25.0,25.33
4-1.0:1215-26.0,21.16
0-1.0:1215-26.0,19.48
0-1.0:1215-26.0,18.23
0-1.0:1215-29.0,17.18
0-1.0:1215-27.0,15.93
4-1.0:1215-29.0,14.89
4-1.0:1215-26.0,34.28
0-1.0:1215-27.0,23.24
4-1.0:1215-25.0,25.23
0-1.0:1215-25.0,18.01
4-1.0:1215-25.0,17.91
0-1.0:1215-28.0,25.22
0-1.0:1215-27.0,30.13
4-1.0:1215-28.0,29.08
0-1.0:1215-25.0,30.62
0-1.0:1215-27.0,23.23
4-1.0:1215-27.0,20.93
4-1.0:1215-27.0,19.68
4-1.0:1215-27.0,31.46
0-1.0:1215-26.0,15.5
4-1.0:1215-27.0,18.35
0-1.0:1215-25.0,27.18
0-1.0:1215-25.0,22.65
4-1.0:1215-29.0,23.41
4-1.0:1215-26.0,21.68
4-1.0:1215-26.0,12.46
0-1.0:1215-25.0,30.4
4-1.0:1215-25.0,36.77
4-1.0:1215-25.0,24.74
0-1.0:1215-25.0,28.68
4-1.0:1215-25.0,24.17
